Date,Rank,Brand,Product Name,Price,Tags
2026-01-13 11:33:44,1,파티온,[티동마켓/7일특가] 파티온 노스카나인 트러블 세럼 100ml,"31,000","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,2,피지오겔,[1월 올영픽] 피지오겔 DMT 페이셜 크림 대용량 기획 200ml,"24,900","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,3,달바,[1월올영픽/NO.1 미스트세럼] 달바 퍼스트 스프레이 세럼 100ml 2개 기획,"31,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,4,헤브블루,[1+1/단독NEW] 헤브블루 PDRN 컨디션 진정 연어크림 100ml + 100ml,"28,900","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,5,토리든,[2025 어워즈 1위] 토리든 다이브인 저분자 히알루론산 세럼 100ml 어워즈 한정기획,"35,000","세일, 오늘드림"
2026-01-13 11:33:44,6,닥터지,[1월 올영픽/속광탄력] 닥터지 블랙 스네일 크림 50ml 1+1 한정 기획 (+20ml 추가 증정),"24,300","세일, 쿠폰, 오늘드림"
2026-01-13 11:33:44,7,에스트라,[올영어워즈1등 크림] 에스트라 아토베리어365 크림 80ml 기획 (+하이드로 에센스25ml+세라-히알 앰플7ml),"33,000",오늘드림
2026-01-13 11:33:44,8,아이오페,[1월 올영픽 한정기획] 아이오페 레티놀 슈퍼 바운스 세럼 30ml +25ml 기획,"36,800","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,9,메디힐,[단독/1+1] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,"21,200","세일, 쿠폰, 증정, 오늘드림"
2026-01-13 11:33:44,10,웰라쥬,[2025 어워즈] 웰라쥬 리얼 히알루로닉 블루 100 앰플 75ml 더블 어워즈 한정기획,"32,900","세일, 오늘드림"
2026-01-13 11:33:44,11,라로슈포제,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),"41,000",오늘드림
2026-01-13 11:33:44,12,에스네이처,[수분광/모공쫀쫀 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),"17,900","세일, 증정, 오늘드림"
2026-01-13 11:33:44,13,구달,[2025 어워즈] 구달 청귤 비타C 잡티케어세럼 알파 50ml 어워즈 기획(+50ml+크림 10ml+겔마스크 1매),"29,900","세일, 오늘드림"
2026-01-13 11:33:44,14,더마팩토리,더마팩토리 나이아신아마이드 20% 세럼 30ml,"5,700","세일, 오늘드림"
